feature_0,feature_1,target
0.0956848,0.860753,1
0.151125,0.725678,1
0.0794238,0.403649,1
0.613828,0.332145,1
0.349401,0.843155,1
0.602281,1.12663,1
0.0649685,0.0740844,1
1.14813,0.752842,1
0.2682,0.828782,1
0.019418,0.474827,1
0.434173,-0.0472807,1
0.281056,0.889449,1
1.0654,0.733754,1
0.731093,-0.652189,1
0.384263,1.04787,1
-0.233715,0.733042,1
0.367788,0.526138,1
0.394413,0.752461,1
0.543755,0.786034,1
1.01902,0.494092,1
0.972892,1.15811,1
0.728496,0.945045,1
0.445812,1.05942,1
0.233542,-0.0517141,1
0.128129,0.168116,1
0.781367,0.175146,1
0.652147,0.645265,1
-0.343823,1.11214,1
0.95711,0.46141,1
0.793202,1.30649,1
0.598068,0.422587,1
1.04414,0.311134,1
0.213063,1.18729,1
-0.0159299,0.779731,1
-1.29379,0.0876953,-1
-0.518372,-0.621011,-1
-0.110641,0.176183,-1
0.188706,-0.0454202,-1
0.0171686,-0.897306,-1
-0.618547,-0.779624,-1
-0.265421,-0.655883,-1
-0.114716,-0.435382,-1
-0.908653,0.534127,-1
0.580909,-0.251363,-1
-0.398292,-0.326154,-1
-0.472978,-0.437222,-1
-0.32645,-1.34437,-1
-1.05643,-0.709801,-1
-0.154174,0.153171,-1
-0.190802,-0.55876,-1
-0.993627,-1.30918,-1
0.0810577,-1.56199,-1
-0.565758,-0.258942,-1
-1.52163,-0.0859928,-1
-0.473867,-0.905033,-1
0.658187,-0.115576,-1
-1.08076,-0.52307,-1
-0.540301,-0.527209,-1
-0.402783,-0.552618,-1
-0.818028,0.42824,-1
-1.10159,-0.899345,-1
-1.03759,-1.00711,-1
-1.04611,-0.886623,-1
-0.258916,-0.958614,-1
-1.38243,-1.94626,-1
-1.08581,-0.824458,-1
-1.00697,-1.14901,-1
-0.930953,-1.01941,-1
-0.788935,-0.577871,-1
-0.666456,-0.47911,-1
0.0884581,0.2133,-1
-4.77433e-05,-0.921929,-1
-0.15189,-0.700272,-1
0.238263,-1.22545,-1
-0.601272,-0.546744,-1
-0.190121,-1.61378,-1
-0.650227,-0.695332,-1
0.0656976,-0.461082,-1
-0.48321,-0.867019,-1
-0.125601,-0.63193,-1
-0.947526,-0.723249,-1
-0.677778,-0.73739,-1
-1.50081,-0.722174,-1
-0.115074,0.733196,-1
0.184369,0.0831293,-1
-0.635986,-0.904731,-1
-0.367274,0.542557,-1
0.262088,-1.44063,-1
-0.969927,-1.12648,-1
-0.633054,0.310814,-1
-0.287565,-1.61589,-1
-0.420214,-0.649603,-1
-1.00622,-1.32122,-1
-0.608049,-0.810044,-1
-0.490376,-0.878966,-1
-1.43835,-1.35058,-1
-0.896601,-0.236145,-1
-0.328158,0.707727,-1
0.807814,-0.751895,-1
-0.180469,-0.99596,-1
-0.666734,-0.472131,-1
-1.30491,-0.822149,-1
-0.217964,-0.625168,-1
0.843213,-0.605602,-1
-0.0831686,-0.751373,-1
-1.50111,-1.04687,-1
-0.85734,-1.06709,-1
-0.706861,-0.3449,-1
0.72401,-0.818563,-1
-0.700276,-0.648402,-1
-0.147181,-0.27299,-1
-1.07879,-0.0210302,-1
-0.451836,-0.231016,-1
-0.619347,-0.114456,-1
-0.789039,-0.685498,-1
-0.712635,-0.160762,-1
0.218793,-0.474619,-1
-1.03412,-0.0081726,-1
-0.969061,0.159963,-1
-0.746545,-0.62439,-1
-0.834634,-1.43204,-1
0.296392,-0.452098,-1
-1.11993,-0.0808716,-1
-1.6507,-0.462859,-1
-0.373161,0.592777,-1
-0.992775,-0.269629,-1
-0.112253,-1.03299,-1
-0.598358,-0.37415,-1
0.693196,-0.383656,-1
-0.0371947,-0.814088,-1
-1.01269,-0.858912,-1
-0.284719,-0.222801,-1
0.302442,-0.2448,-1
-0.646445,0.156056,-1
-0.931111,0.0947855,-1
-0.988143,-1.75763,-1
0.208484,-1.09594,-1
-1.20921,-0.123779,-1
0.347094,0.395297,-1
-0.324501,-1.23517,-1
-0.743271,-0.159792,-1
-0.280792,-1.43217,-1
-0.66181,-0.227025,-1
-0.373073,-0.493003,-1
-0.172106,-0.000461608,-1
-0.437497,-0.165498,-1
0.159496,-0.779823,-1
0.0746228,-0.417252,-1
-0.568911,-0.353852,-1
-0.567582,-0.71126,-1
-0.293068,-0.208431,-1
-0.115878,-0.446413,-1
0.225998,-1.18999,-1
-0.806326,-0.192753,-1
-0.665329,-1.38142,-1
-0.442702,-1.54916,-1
-1.57607,-0.403253,-1
-1.11164,-0.549259,-1
-0.79638,-1.12043,-1
-0.503094,-0.540283,-1
-0.222621,-0.80202,-1
-0.205293,-0.204187,-1
0.550609,-0.223392,-1
-1.07526,-0.626071,-1
-0.926971,-0.489528,-1
-0.085265,-0.832367,-1
0.275002,-0.795961,-1
-0.124579,-1.21857,-1
-1.0898,-0.698777,-1
-0.55181,0.235366,-1
-0.679494,-0.0263204,-1
-1.78233,0.408367,-1
-1.8754,-1.7709,-1
-0.328888,-1.01133,-1
-0.892514,-0.646504,-1
0.589766,-0.697863,-1
-0.63065,-0.296762,-1
0.366115,-0.721769,-1
-0.908461,-0.8028,-1
0.532535,-0.642193,-1
-0.86734,0.178465,-1
0.492654,-0.970192,-1
0.265935,-0.310885,-1
-0.56829,-0.29556,-1
-1.16011,-1.09496,-1
-0.688928,-0.698665,-1
-0.57589,0.0285325,-1
-0.827051,0.0755989,-1
-1.11501,-0.773952,-1
-1.16299,-0.456407,-1
-0.765321,0.101421,-1
-0.732957,-0.107429,-1
-0.59701,-0.8562,-1
-0.148333,0.0297419,-1
-0.504436,-0.01738,-1
-0.24819,-1.84347,-1
-0.713561,-0.938307,-1
-0.305514,0.349787,-1
-0.854801,-0.965499,-1
0.0955662,-0.470003,-1
-0.952798,-1.07099,-1
-0.070444,-0.574576,-1
0.869534,-0.571362,-1
0.112355,0.592736,-1
-0.0995184,-0.581118,-1
-0.817293,-0.261151,-1
-0.196581,-0.21224,-1
0.131461,0.551906,-1
-1.12235,-1.26128,-1
-0.787671,-0.181031,-1
-0.710997,-0.208173,-1
-0.237397,-0.682762,-1
-1.36746,-0.617454,-1
-0.0164011,-1.27191,-1
-0.454677,-0.781085,-1
-0.436339,0.371361,-1
-0.933996,-0.745686,-1
-0.751187,-0.342736,-1
-0.502444,-0.344355,-1
-1.25423,0.276441,-1
-0.880108,-0.806251,-1
0.290564,-0.520771,-1
0.320133,-1.66465,-1
-0.555871,-0.399456,-1
-1.02609,-0.711233,-1
-0.36204,-1.86507,-1
-0.47373,-0.243804,-1
0.172348,-0.141909,-1
-0.0525246,0.204817,-1
-0.620087,-0.57956,-1
-1.01205,-0.290474,-1
0.324032,-1.14825,-1
0.790286,-0.222253,-1
-0.0415666,-0.804473,-1
